Animal,Year,Quantity(kt)
Pork,1974,186.48
Pork,1975,171.82
Pork,1976,179.36
Pork,1977,192.47
Pork,1978,199.11
Pork,1979,205.21
Pork,1980,230.91
Pork,1981,230.52
Pork,1982,229.82
Pork,1983,247.02
Pork,1984,256.91
Pork,1985,268.13
Pork,1986,275.73
Pork,1987,288.3
Pork,1988,301.42
Pork,1989,310.11
Pork,1990,319.38
Pork,1991,320.88
Pork,1992,341.79
Pork,1993,344.64
Pork,1994,360.77
Pork,1995,360.95
Pork,1996,335.42
Pork,1997,344.17
Pork,1998,369.04
Pork,1999,362.2
Pork,2000,364.36
Pork,2001,378.53
Pork,2002,407.28
Pork,2003,418.88
Pork,2004,394.82
Pork,2005,390.34
Pork,2006,382.68
Pork,2007,384.59
Pork,2008,345.08
Pork,2009,323.67
Pork,2010,338.74
Pork,2011,344.27
Pork,2012,351.74
Pork,2013,359.9
Pork,2014,362.19
Pork,2015,374.12
Pork,2016,386.05
Pork,2017,407.97
Pork,2018,424.21
Pork,2019,397.74
Pork,2020,418.73
Pork,2021,443.23
Chicken,1974,174.06
Chicken,1975,167.36
Chicken,1976,186.13
Chicken,1977,205.52
Chicken,1978,226.71
Chicken,1979,258.75
Chicken,1980,283.11
Chicken,1981,261.61
Chicken,1982,265.19
Chicken,1983,270.28
Chicken,1984,283.22
Chicken,1985,327.58
Chicken,1986,329.31
Chicken,1987,354.63
Chicken,1988,362.45
Chicken,1989,371.46
Chicken,1990,387.08
Chicken,1991,405.61
Chicken,1992,416.69
Chicken,1993,455.21
Chicken,1994,473.56
Chicken,1995,471.5
Chicken,1996,483.29
Chicken,1997,512.24
Chicken,1998,560.82
Chicken,1999,575
Chicken,2000,616.69
Chicken,2001,627.34
Chicken,2002,699.53
Chicken,2003,681.49
Chicken,2004,722.47
Chicken,2005,755.2
Chicken,2006,797.42
Chicken,2007,812.89
Chicken,2008,805.37
Chicken,2009,828.59
Chicken,2010,934.35
Chicken,2011,1012.54
Chicken,2012,1046.71
Chicken,2013,1066.51
Chicken,2014,1103.07
Chicken,2015,1137.28
Chicken,2016,1225.28
Chicken,2017,1220.15
Chicken,2018,1212.55
Chicken,2019,1226.6
Chicken,2020,1270.77
Chicken,2021,1337.32
Beef & Veal,1974,1546.96
Beef & Veal,1975,1840.42
Beef & Veal,1976,1987.78
Beef & Veal,1977,2183.84
Beef & Veal,1978,2018.11
Beef & Veal,1979,1564.44
Beef & Veal,1980,1467.19
Beef & Veal,1981,1576.2
Beef & Veal,1982,1542.88
Beef & Veal,1983,1345.28
Beef & Veal,1984,1310.02
Beef & Veal,1985,1384.92
Beef & Veal,1986,1520.73
Beef & Veal,1987,1587.72
Beef & Veal,1988,1491.48
Beef & Veal,1989,1676.72
Beef & Veal,1990,1759.57
Beef & Veal,1991,1790.87
Beef & Veal,1992,1825.81
Beef & Veal,1993,1824.8
Beef & Veal,1994,1803.42
Beef & Veal,1995,1744.7
Beef & Veal,1996,1810.3
Beef & Veal,1997,1955.25
Beef & Veal,1998,2010.53
Beef & Veal,1999,1987.9
Beef & Veal,2000,2119.43
Beef & Veal,2001,2027.61
Beef & Veal,2002,2072.83
Beef & Veal,2003,2032.94
Beef & Veal,2004,2161.96
Beef & Veal,2005,2077.07
Beef & Veal,2006,2226.29
Beef & Veal,2007,2132.12
Beef & Veal,2008,2125.11
Beef & Veal,2009,2108.78
Beef & Veal,2010,2133.36
Beef & Veal,2011,2114.76
Beef & Veal,2012,2244.97
Beef & Veal,2013,2464.07
Beef & Veal,2014,2661.64
Beef & Veal,2015,2343.52
Beef & Veal,2016,2068.62
Beef & Veal,2017,2237.68
Beef & Veal,2018,2351.79
Beef & Veal,2019,2371.61
Beef & Veal,2020,1932.6
Beef & Veal,2021,1877.88
Mutton & Lamb,1974,475.77
Mutton & Lamb,1975,553.47
Mutton & Lamb,1976,591.78
Mutton & Lamb,1977,538.44
Mutton & Lamb,1978,494.56
Mutton & Lamb,1979,538.04
Mutton & Lamb,1980,547.02
Mutton & Lamb,1981,518.92
Mutton & Lamb,1982,564.53
Mutton & Lamb,1983,469.69
Mutton & Lamb,1984,474.18
Mutton & Lamb,1985,556.28
Mutton & Lamb,1986,584.94
Mutton & Lamb,1987,599.18
Mutton & Lamb,1988,551.21
Mutton & Lamb,1989,582.26
Mutton & Lamb,1990,646.96
Mutton & Lamb,1991,668.9
Mutton & Lamb,1992,651.24
Mutton & Lamb,1993,646.54
Mutton & Lamb,1994,656.61
Mutton & Lamb,1995,575.1
Mutton & Lamb,1996,564.89
Mutton & Lamb,1997,599.44
Mutton & Lamb,1998,623.65
Mutton & Lamb,1999,643.35
Mutton & Lamb,2000,713.91
Mutton & Lamb,2001,678.14
Mutton & Lamb,2002,634.37
Mutton & Lamb,2003,543.48
Mutton & Lamb,2004,573.13
Mutton & Lamb,2005,615.91
Mutton & Lamb,2006,669.17
Mutton & Lamb,2007,680.8
Mutton & Lamb,2008,646.67
Mutton & Lamb,2009,624.27
Mutton & Lamb,2010,540.97
Mutton & Lamb,2011,507.42
Mutton & Lamb,2012,582.72
Mutton & Lamb,2013,686.53
Mutton & Lamb,2014,720.46
Mutton & Lamb,2015,710.49
Mutton & Lamb,2016,685.82
Mutton & Lamb,2017,697.66
Mutton & Lamb,2018,736.56
Mutton & Lamb,2019,731.28
Mutton & Lamb,2020,657.79
Mutton & Lamb,2021,662.97
