Animal,Year,Slaughterings
Sheep & Lambs,2021,26150600
Sheep & Lambs,2022,27098600
Sheep & Lambs,2023,28701086
Sheep & Lambs,2024,30313146
Sheep & Lambs,2025,31471879
Sheep & Lambs,2026,31108009
Sheep & Lambs,2027,31226172
Sheep & Lambs,2028,32057477
Pigs,2021,5489500
Pigs,2022,5501500
Pigs,2023,5414920
Pigs,2024,5790262
Pigs,2025,5753030
Pigs,2026,5769000
Pigs,2027,5841523
Pigs,2028,5663264
Chickens,2021,677632000
Chickens,2022,698032000
Chickens,2023,707313000
Chickens,2024,717896000
Chickens,2025,730837000
Chickens,2026,739786000
Chickens,2027,747993000
Chickens,2028,759437000
Cattle,2021,6621300
Cattle,2022,6148000
Cattle,2023,6282000
Cattle,2024,6780341
Cattle,2025,7264651
Cattle,2026,7192004
Cattle,2027,7580372
Cattle,2028,7580372
